Project;Version;Filename;Creation;Last Modified;Size;Age
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/xml/DocTypeReader.java;2006-05-14;2006-05-14;328;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/xml/Location.java;2006-05-14;2006-05-14;90;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/xml/ValidatingErrorHandler.java;2006-05-14;2006-05-14;53;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/xml/XMLFactory.java;2006-05-14;2006-05-14;250;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/xml/XMLWriter.java;2006-05-14;2006-05-14;158;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/util/Closeable.java;2006-05-14;2006-05-14;29;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/jdbc/DataSourceLogs.java;2006-05-14;2006-05-14;178;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/jdbc/DelegatingCallableStatement.java;2006-05-14;2006-05-14;1251;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/jdbc/DelegatingDataSource.java;2006-05-14;2006-05-14;156;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/jdbc/DelegatingDatabaseMetaData.java;2006-05-14;2006-05-14;1265;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/jdbc/DelegatingPreparedStatement.java;2006-05-14;2006-05-14;684;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/jdbc/DelegatingResultSet.java;2006-05-14;2006-05-14;1085;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/jdbc/JDBCEventConnectionDecorator.java;2006-05-14;2006-05-14;381;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/jdbc/LoggingConnectionDecorator.java;2006-05-14;2006-05-14;1775;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/log/CommonsLogFactory.java;2006-05-14;2006-05-14;175;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/log/Log4JLogFactory.java;2006-05-14;2006-05-14;166;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/log/LogOutputStream.java;2006-05-14;2006-05-14;104;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/rop/ResultList.java;2006-05-14;2006-05-14;67;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/util/FormatPreservingProperties.java;2006-05-14;2006-05-14;842;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/util/JavaVersions.java;2006-05-14;2006-05-14;316;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/util/Options.java;2006-05-14;2006-05-14;691;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/util/ZipResourceBundleProvider.java;2006-05-14;2006-05-14;71;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/src/main/java/org/apache/openjpa/lib/ant/AbstractTask.java;2006-06-28;2008-10-27;206;121
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/BooleanValue.java;2006-06-28;2009-08-18;72;163
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/Configurable.java;2006-06-28;2007-04-14;45;41
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/Configuration.java;2006-06-28;2009-10-02;310;170
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/ConfigurationImpl.java;2006-06-28;2010-10-11;1137;223
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/ConfigurationProvider.java;2006-06-28;2009-09-29;55;169
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/Configurations.java;2006-06-28;2010-09-28;827;221
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/DoubleValue.java;2006-06-28;2009-08-18;76;163
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/FileValue.java;2006-06-28;2008-10-27;79;121
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/GenericConfigurable.java;2006-06-28;2007-04-14;41;41
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/IntValue.java;2006-06-28;2009-08-18;76;163
